category,deviation
SE_T139_014,3.084412864
SE_T050_001,10.38586699
SE_T056_005,3.477806135
SE_T139_088,1.821268229
SE_T139_089,2.78381526
SE_T139_032,5.045033723
SE_T139_123,0.907843286
SE_T139_122,10.35826156
SE_T139_121,10.40177659
SE_T139_120,1.515847865
SE_T053_001,10.38586699
SE_T139_056,7.535058693
SE_T053_003,7.536396102
SE_T139_054,10.36146732
SE_T053_005,4.88859185
SE_T053_004,5.722617406
SE_T139_051,2.50519562
SE_T053_006,0.452347112
SE_T139_015,2.402190145
SE_T139_059,3.457326221
SE_T139_058,7.509223053
SE_T050_003,9.692053986
SE_T147_001,7.569163906
SE_T050_008,2.599685354
SE_T007_008,3.648413461
SE_T007_009,3.845233547
SE_T007_006,8.298540702
SE_T007_007,6.120490567
SE_T007_004,2.567877546
SE_T007_005,1.755055223
SE_T007_002,2.736899307
SE_T007_003,2.561216313
SE_T007_001,9.645625944
SE_T182_002,12.39748244
SE_T076_003,11.14557702
SE_T139_045,2.483212598
SE_T139_046,10.09551753
SE_T056_003,4.377768641
SE_T005_022,2.042499278
SE_T005_023,2.274525954
SE_T005_020,4.489795389
SE_T005_021,3.235644383
SE_T005_026,1.806120928
SE_T005_027,1.392966774
SE_T005_024,2.367837367
SE_T005_025,2.371751904
SE_T139_044,1.356393234
SE_T030_001,12.46914304
SE_T030_002,8.476291462
SE_T030_003,14.59525915
SE_T139_040,4.713126301
SE_T139_041,7.397195588
SE_T139_042,0.646128835
SE_T139_043,12.70142179
SE_T057_001,30267.72097
SE_T139_048,3.562796715
SE_T139_049,3.993486815
SE_T050_012,5.184807614
SE_T139_096,5.025492767
SE_T025_006,6.29093879
SE_T025_007,2.652292704
SE_T025_004,8.495050705
SE_T025_005,10.38053589
SE_T025_002,11.07751303
SE_T025_003,11.22144936
SE_T025_001,9.700452134
SE_T002_003,538.4783809
SE_T002_002,12015.27666
SE_T002_001,2175.314578
SE_T078_003,13.47408036
SE_T025_008,2.007892857
SE_T139_101,29.6125419
SE_T139_078,0.77630249
SE_T139_103,6.198377782
SE_T139_102,1.946994224
SE_T139_105,5.438785194
SE_T139_104,6.527685766
SE_T129_009,2.843686506
SE_T129_008,5.446723723
SE_T129_007,7.136147362
SE_T139_070,2.915033331
SE_T139_073,3.771909314
SE_T139_072,2.652848
SE_T129_003,10.36841002
SE_T129_002,10.60172364
SE_T129_001,10.3284258
SE_T139_076,2.782111977
SE_T094_002,23.61226909
SE_T094_003,22.95805669
SE_T094_001,10.80956409
SE_T007_012,3.043163015
SE_T013_008,3.264482981
SE_T056_014,4.754618709
SE_T080_001,10.80956409
SE_T080_003,11.02366409
SE_T080_002,3.405572341
SE_T139_057,3.391487459
SE_T078_002,11.69315878
SE_T050_013,5.092306051
SE_T076_001,10.80956409
SE_T139_055,3.879533195
SE_T139_116,3.102819129
SE_T139_117,3.581896242
SE_T139_114,4.728849823
SE_T053_002,12.01929959
SE_T139_112,3.923691774
SE_T139_113,1.983425923
SE_T139_068,6.110643679
SE_T139_069,3.189992874
SE_T139_066,1.59252311
SE_T139_053,3.970515166
SE_T139_064,1.238157977
SE_T139_065,4.347681879
SE_T139_062,1.854084013
SE_T139_063,2.119925926
SE_T059_001,39518.47055
SE_T139_119,2.667634921
SE_T005_008,3.647477098
SE_T056_007,3.091668438
SE_T005_009,2.415463538
SE_T004_001,9.645625944
SE_T004_003,6.804447046
SE_T004_002,6.696140338
SE_T056_001,10.80956409
SE_T099_003,27.83636294
SE_T139_115,3.251711158
SE_T182_004,11.77766933
SE_T139_025,2.386778038
SE_T139_012,3.256974428
SE_T135_004,12.29762145
SE_T135_005,7.754566835
SE_T135_006,1.645422635
SE_T135_007,7.230426784
SE_T135_001,9.645625944
SE_T135_002,11.17258124
SE_T135_003,15.26768971
SE_T139_110,2.357907234
SE_T099_007,1.173099451
SE_T139_111,1.63826131
SE_T099_006,0.452824593
SE_T139_093,1.628826974
SE_T050_010,4.687790088
SE_T139_091,33.24329556
SE_T139_090,32.46583802
SE_T139_097,6.673557516
SE_T078_001,10.80956409
SE_T139_095,6.28066864
SE_T139_094,6.616768169
SE_T139_099,3.44668325
SE_T139_098,3.270319463
SE_T005_002,6.696140338
SE_T139_019,3.355451913
SE_T139_018,5.121560116
SE_T139_013,10.22384707
SE_T099_002,28.87396046
SE_T139_011,2.234528279
SE_T139_010,11.81563833
SE_T139_017,2.906738563
SE_T139_016,7.416231557
SE_T099_005,5.830436651
SE_T099_004,13.06600802
SE_T013_005,8.898670077
SE_T013_004,4.619316868
SE_T013_007,8.51916718
SE_T013_006,1.069475281
SE_T099_001,10.80956409
SE_T139_060,2.241740813
SE_T013_003,21.86103005
SE_T013_002,26.07152544
SE_T056_017,7.895116623
SE_T056_016,4.883675687
SE_T056_015,3.746384651
SE_T139_061,2.549584635
SE_T056_013,5.325732021
SE_T056_012,4.183798761
SE_T013_001,9.645625944
SE_T056_010,2.421875119
SE_T157_001,0.078813229
SE_T050_014,4.249504076
SE_T005_004,1.562037341
SE_T139_020,2.506523443
SE_T050_006,4.052204923
SE_T050_007,3.570317316
SE_T050_004,2.476236142
SE_T050_005,2.241864851
SE_T050_002,7.637233052
SE_T139_085,4.222741231
SE_T139_086,3.183606905
SE_T139_087,2.582627788
SE_T145_005,19.4998595
SE_T145_004,14.04119938
SE_T145_001,10.36037865
SE_T145_003,12.03663524
SE_T050_009,4.197228884
SE_T139_008,2.87510992
SE_T139_009,3.093923041
SE_T083_001,15673.2216
SE_T129_010,3.913290157
SE_T139_100,32.07894423
SE_T139_001,19.51336667
SE_T139_002,22.01629471
SE_T139_003,9.668600424
SE_T139_004,8.476103691
SE_T139_005,4.85697746
SE_T139_006,6.146416137
SE_T139_007,2.632451769
SE_T007_010,4.232028843
SE_T145_002,7.914038264
SE_T056_008,2.761482349
SE_T056_011,3.545170963
SE_T056_004,3.779073139
SE_T182_003,12.2878585
SE_T056_006,3.142709909
SE_T182_001,10.80956409
SE_T182_006,3.583280003
SE_T182_007,2.065925162
SE_T056_002,7.323583203
SE_T182_005,7.504569175
SE_T139_118,1.143748817
SE_T139_107,2.728791153
SE_T139_106,2.627782813
SE_T139_052,2.060990441
SE_T139_071,3.816028767
SE_T005_019,1.062363188
SE_T005_018,1.523605278
SE_T056_009,2.725801614
SE_T005_013,1.491727519
SE_T005_012,2.274157271
SE_T139_067,11.7354163
SE_T005_010,2.298603713
SE_T005_017,1.531918121
SE_T129_005,8.255607214
SE_T005_015,6.804447046
SE_T005_014,0.899220928
SE_T139_047,3.405135428
SE_T139_039,3.02553774
SE_T139_038,1.876413329
SE_T139_035,14.34840757
SE_T139_034,25.9687976
SE_T139_037,9.37475313
SE_T139_036,10.62481025
SE_T139_031,1.384633291
SE_T139_030,2.970653418
SE_T139_033,1.072199616
SE_T139_074,2.512574765
SE_T139_080,2.881696806
SE_T139_079,7.122430471
SE_T129_004,11.73602727
SE_T139_077,2.666039614
SE_T099_008,10.33378364
SE_T139_092,15.16086584
SE_T007_011,4.310765731
SE_T129_006,7.424219659
SE_T081_001,10.80956409
SE_T081_002,8.355114439
SE_T081_003,12.00800044
SE_T108_004,2.841931472
SE_T108_005,5.625737046
SE_T108_006,1.180264452
SE_T108_007,14.693989
SE_T076_002,5.681616279
SE_T108_001,12.88166253
SE_T108_002,17.20366325
SE_T108_003,6.512759396
SE_T005_016,1.608724499
SE_T005_001,9.645625944
SE_T139_109,10.41540429
SE_T005_003,1.655326575
SE_T108_008,15.96887232
SE_T005_005,1.56503921
SE_T005_006,1.150281222
SE_T005_007,4.495780562
SE_T139_022,12.27989639
SE_T139_023,1.785796486
SE_T005_011,2.375070743
SE_T139_021,0.770268989
SE_T139_026,4.922420199
SE_T139_027,3.279794787
SE_T139_024,2.230646193
SE_T139_081,2.754425463
SE_T139_028,4.908906272
SE_T139_029,4.384669964
SE_T139_082,4.267665525
SE_T150_003,13.81139497
SE_T150_002,11.07751303
SE_T150_001,9.700452134
SE_T139_083,3.373818076
SE_T150_007,4.166580346
SE_T150_006,9.782292062
SE_T150_005,18.9211265
SE_T150_004,18.53626764
SE_T139_108,1.954414805
SE_T139_084,2.886709119
SE_T007_013,2.012575134
SE_T150_008,2.007892857
SE_T139_050,15.09496203
SE_T050_011,2.620268466
SE_T139_075,2.779241874
